time,value
1,-9495.40
2,-9500.19
3,-9483.43
4,-9483.43
5,-9481.04
6,-9490.62
7,-9490.62
8,-9485.83
9,-9490.62
10,-9490.62
11,-9490.62
12,-9490.62
13,-9488.22
14,-9485.83
15,-9485.83
16,-9485.83
17,-9493.01
18,-9490.62
19,-9485.83
20,-9495.40
21,-9490.62
22,-9490.62
23,-9497.80
24,-9490.62
25,-9495.40
26,-9493.01
27,-9488.22
28,-9488.22
29,-9490.62
30,-9483.43
31,-9485.83
32,-9495.40
33,-9495.40
34,-9497.80
35,-9493.01
36,-9490.62
37,-9493.01
38,-9478.64
39,-9485.83
40,-9495.40
41,-9488.22
42,-9485.83
43,-9485.83
44,-9485.83
45,-9488.22
46,-9493.01
47,-9495.40
48,-9483.43
49,-9483.43
50,-9483.43
51,-9493.01
52,-9493.01
53,-9495.40
54,-9490.62
55,-9493.01
56,-9490.62
57,-9485.83
58,-9497.80
59,-9485.83
60,-9490.62
61,-9495.40
62,-9495.40
63,-9497.80
64,-9495.40
65,-9507.37
66,-9507.37
67,-9509.77
68,-9500.19
69,-9500.19
70,-9497.80
71,-9497.80
72,-9495.40
73,-9493.01
74,-9485.83
75,-9485.83
76,-9495.40
77,-9488.22
78,-9497.80
79,-9500.19
80,-9490.62
81,-9485.83
82,-9485.83
83,-9493.01
84,-9483.43
85,-9493.01
86,-9497.80
87,-9502.59
88,-9490.62
89,-9485.83
90,-9490.62
91,-9490.62
92,-9485.83
93,-9495.40
94,-9490.62
95,-9490.62
96,-9490.62
97,-9495.40
98,-9497.80
99,-9490.62
100,-9485.83
101,-9497.80
102,-9488.22
103,-9483.43
104,-9488.22
105,-9485.83
106,-9490.62
107,-9495.40
108,-9497.80
109,-9497.80
110,-9497.80
111,-9493.01
112,-9497.80
113,-9495.40
114,-9493.01
115,-9495.40
116,-9495.40
117,-9497.80
118,-9497.80
119,-9497.80
120,-9497.80
121,-9500.19
122,-9493.01
123,-9483.43
124,-9485.83
125,-9495.40
126,-9485.83
127,-9488.22
128,-9488.22
129,-9488.22
130,-9495.40
131,-9485.83
132,-9485.83
133,-9493.01
134,-9490.62
135,-9495.40
136,-9488.22
137,-9493.01
138,-9490.62
139,-9490.62
140,-9495.40
141,-9483.43
142,-9488.22
143,-9495.40
144,-9495.40
145,-9490.62
146,-9495.40
147,-9490.62
148,-9493.01
149,-9493.01
150,-9500.19
151,-9500.19
152,-9495.40
153,-9502.59
154,-9497.80
155,-9497.80
156,-9483.43
157,-9493.01
158,-9490.62
159,-9493.01
160,-9493.01
161,-9497.80
162,-9490.62
163,-9488.22
164,-9488.22
165,-9495.40
166,-9495.40
167,-9483.43
168,-9483.43
169,-9495.40
170,-9488.22
171,-9490.62
172,-9500.19
173,-9495.40
174,-9493.01
175,-9490.62
176,-9490.62
177,-9485.83
178,-9490.62
179,-9495.40
180,-9497.80
181,-9483.43
182,-9485.83
183,-9483.43
184,-9497.80
185,-9495.40
186,-9495.40
187,-9504.98
188,-9497.80
189,-9497.80
190,-9495.40
191,-9500.19
192,-9504.98
193,-9504.98
194,-9495.40
195,-9493.01
196,-9502.59
197,-9493.01
198,-9495.40
199,-9497.80
200,-9490.62
201,-9488.22
202,-9490.62
203,-9490.62
204,-9488.22
205,-9493.01
206,-9488.22
207,-9493.01
208,-9493.01
209,-9493.01
210,-9485.83
211,-9483.43
212,-9490.62
213,-9495.40
214,-9495.40
215,-9493.01
216,-9504.98
217,-9490.62
218,-9490.62
219,-9495.40
220,-9483.43
221,-9485.83
222,-9488.22
223,-9497.80
224,-9481.04
225,-9488.22
226,-9483.43
227,-9476.25
228,-9493.01
229,-9507.37
230,-9495.40
231,-9488.22
232,-9495.40
233,-9481.04
234,-9490.62
235,-9500.19
236,-9497.80
237,-9490.62
238,-9507.37
239,-9502.59
240,-9476.25
241,-9488.22
242,-9509.77
243,-9488.22
244,-9488.22
245,-9516.95
246,-9493.01
247,-9478.64
248,-9502.59
249,-9493.01
250,-9476.25
251,-9500.19
252,-9512.16
253,-9483.43
254,-9485.83
255,-9502.59
