time,value
1,-241.81
2,-244.21
3,-241.81
4,-249.00
5,-251.39
6,-249.00
7,-249.00
8,-249.00
9,-244.21
10,-244.21
11,-246.60
12,-249.00
13,-249.00
14,-244.21
15,-249.00
16,-241.81
17,-251.39
18,-244.21
19,-239.42
20,-246.60
21,-239.42
22,-239.42
23,-241.81
24,-246.60
25,-244.21
26,-249.00
27,-244.21
28,-239.42
29,-241.81
30,-246.60
31,-244.21
32,-244.21
33,-246.60
34,-253.79
35,-241.81
36,-239.42
37,-246.60
38,-251.39
39,-258.57
40,-251.39
41,-253.79
42,-253.79
43,-251.39
44,-251.39
45,-246.60
46,-256.18
47,-251.39
48,-239.42
49,-239.42
50,-241.81
51,-444.21
52,-541.81
53,-649.00
54,-751.39
55,-849.00
56,-749.00
57,-649.00
58,-644.21
59,-644.21
60,-646.60
61,-549.00
62,-549.00
63,-544.21
64,-549.00
65,-441.81
66,-451.39
67,-444.21
68,-439.42
69,-446.60
70,-339.42
71,-339.42
72,-341.81
73,-249.00
74,-246.60
75,-246.60
76,-251.39
77,-239.42
78,-237.03
79,-241.81
80,-249.00
81,-239.42
82,-239.42
83,-249.00
84,-244.21
85,-244.21
86,-249.00
87,-251.39
88,-251.39
89,-244.21
90,-246.60
91,-241.81
92,-244.21
93,-244.21
94,-241.81
95,-246.60
96,-244.21
97,-251.39
98,-241.81
99,-244.21
100,-237.03
101,-237.03
102,-249.00
103,-246.60
104,-239.42
105,-241.81
106,-241.81
107,-256.18
108,-256.18
109,-253.79
110,-258.57
111,-244.21
112,-244.21
113,-249.00
114,-251.39
115,-246.60
116,-244.21
117,-244.21
118,-246.60
119,-239.42
120,-237.03
121,-234.63
122,-239.42
123,-244.21
124,-246.60
125,-246.60
126,-249.00
127,-246.60
128,-249.00
129,-244.21
130,-253.79
131,-249.00
132,-244.21
133,-253.79
134,-246.60
135,-251.39
136,-210.69
137,-308.85
138,-239.42
139,-141.26
140,-354.34
141,-270.54
142,-110.13
143,-347.16
144,-287.30
145,-134.08
146,-301.67
147,-308.85
148,-208.30
149,-234.63
150,-253.79
151,-296.88
152,-232.24
153,-189.14
154,-335.19
155,-263.36
156,-155.62
157,-299.28
158,-284.91
159,-177.17
160,-256.18
161,-284.91
162,-229.84
163,-237.03
164,-265.76
165,-289.70
166,-225.05
167,-181.96
168,-256.18
169,-251.39
170,-244.21
171,-244.21
172,-244.21
173,-241.81
174,-241.81
175,-227.45
176,-234.63
177,-241.81
178,-239.42
179,-246.60
180,-237.03
181,-249.00
182,-246.60
183,-239.42
184,-246.60
185,-246.60
186,-244.21
187,-239.42
188,-249.00
189,-239.42
190,-237.03
191,-244.21
192,-234.63
193,-256.18
194,-241.81
195,-253.79
196,-253.79
197,-241.81
198,-225.05
199,-263.36
200,-241.81
201,-265.76
202,-256.18
203,-256.18
204,-222.66
205,-246.60
206,-249.00
207,-232.24
208,-234.63
209,-246.60
210,-258.57
211,-241.81
212,-234.63
213,-256.18
214,-253.79
215,-225.05
216,-249.00
217,-251.39
218,-229.84
219,-244.21
220,-253.79
221,-239.42
222,-234.63
223,-239.42
224,-246.60
225,-239.42
226,-239.42
227,-256.18
228,-234.63
229,-234.63
230,-253.79
231,-246.60
232,-239.42
233,-258.57
234,-253.79
235,-244.21
236,-241.81
237,-253.79
