time,value
1,-246.60
2,-239.42
3,-237.03
4,-234.63
5,-239.42
6,-244.21
7,-246.60
8,-246.60
9,-249.00
10,-246.60
11,-249.00
12,-244.21
13,-253.79
14,-249.00
15,-244.21
16,-253.79
17,-246.60
18,-251.39
19,-210.69
20,-308.85
21,-239.42
22,-141.26
23,-354.34
24,-270.54
25,-110.13
26,-347.16
27,-287.30
28,-134.08
29,-301.67
30,-308.85
31,-208.30
32,-234.63
33,-253.79
34,-296.88
35,-232.24
36,-189.14
37,-335.19
38,-263.36
39,-155.62
40,-299.28
41,-284.91
42,-177.17
43,-256.18
44,-284.91
45,-229.84
46,-237.03
47,-265.76
48,-289.70
