time,value
1,9.913465
2,9.913465
3,9.91825
4,9.913465
5,9.913465
6,9.923036
7,9.91825
8,9.908679
9,9.91825
10,9.925428
11,9.913465
12,9.906285
13,9.908679
14,9.9015
15,9.889536
16,9.896714
17,9.899107
18,9.906285
19,9.9038925
20,9.9015
21,9.894321
22,9.896714
23,9.9015
24,9.891929
25,9.891929
26,9.896714
27,9.899107
28,9.906285
29,9.923036
30,9.913465
31,9.906285
32,9.9015
33,9.906285
34,9.9038925
35,9.9038925
36,9.9015
37,9.894321
38,9.9015
39,9.899107
40,9.891929
41,9.899107
42,9.915857
43,9.913465
44,9.913465
45,9.908679
46,9.9038925
47,9.891929
48,9.887143
49,9.9038925
50,9.908679
51,9.908679
52,9.9015
53,9.896714
54,9.894321
55,9.908679
56,9.923036
57,9.923036
58,9.920643
59,9.896714
60,9.908679
61,9.889536
62,9.899107
63,9.906285
64,9.899107
65,9.911072
66,9.911072
67,9.9038925
68,9.908679
69,9.908679
70,9.896714
71,9.9015
72,9.9038925
73,9.887143
74,9.9038925
75,9.899107
76,9.896714
77,9.911072
78,9.9038925
79,9.896714
80,9.911072
81,9.9038925
82,9.9015
83,9.894321
84,9.887143
85,9.9015
86,9.894321
87,9.889536
88,9.887143
89,9.882358
90,9.899107
91,9.911072
92,9.906285
93,9.899107
94,9.891929
95,9.896714
96,9.9038925
97,9.908679
98,9.91825
99,9.91825
100,9.906285
101,9.9038925
102,9.915857
103,9.911072
104,9.911072
105,9.891929
106,9.896714
107,9.889536
108,9.889536
109,9.882358
110,9.879965
111,9.889536
112,9.9038925
113,9.9015
114,9.896714
115,9.896714
116,9.9038925
117,9.9015
118,9.9038925
119,9.899107
120,9.911072
121,9.899107
122,9.896714
123,9.891929
124,9.894321
125,9.908679
126,9.9038925
127,9.908679
128,9.9015
129,9.899107
130,9.899107
131,9.9015
132,9.913465
133,9.911072
134,9.908679
135,9.896714
136,9.887143
137,9.894321
138,9.899107
139,9.9015
140,9.9015
141,9.899107
142,9.899107
143,9.894321
144,9.899107
145,9.899107
146,9.911072
147,9.911072
148,9.887143
149,9.894321
150,9.899107
151,9.913465
152,9.913465
153,9.906285
154,9.891929
155,9.891929
156,9.911072
157,9.899107
158,9.906285
159,9.906285
160,9.896714
161,9.9015
162,9.913465
163,9.9038925
164,9.896714
165,9.9015
166,9.9038925
167,9.906285
168,9.896714
169,9.906285
170,9.911072
171,9.9038925
172,9.9015
173,9.906285
174,9.906285
175,9.91825
176,9.913465
177,9.906285
178,9.913465
179,9.911072
180,9.9015
181,9.899107
182,9.896714
183,9.891929
184,9.891929
185,9.906285
186,9.9038925
187,9.894321
188,9.906285
189,9.9015
190,9.906285
191,9.915857
192,9.9038925
193,9.91825
194,9.91825
195,9.911072
196,9.911072
197,9.9015
198,9.891929
199,9.88475
200,9.891929
201,9.906285
202,9.9015
203,9.896714
204,9.899107
205,9.9038925
206,9.851251
207,9.473185
208,7.8484583
209,5.2977095
210,5.9653068
211,14.383257
212,15.814165
213,11.373086
214,10.71506
215,18.64248
216,16.878971
217,9.470792
218,8.13799
219,5.6853466
220,1.8640088
221,0.35174492
222,1.550549
223,12.552748
224,13.634303
225,9.355937
226,11.188839
227,19.061226
228,16.280766
229,9.8632145
230,7.200003
231,8.9826565
232,10.746166
233,8.331808
234,5.8097734
235,7.668997
236,9.5760765
237,9.037691
238,9.21476
239,9.339187
240,11.404193
241,15.07239
242,13.440485
243,10.052248
244,9.109476
245,9.815358
246,9.284152
247,7.874779
248,6.9248285
249,7.580462
250,9.001799
251,9.961321
252,11.406586
253,13.103097
254,12.916456
255,11.547762
256,9.8727865
257,8.58784
258,8.059027
259,8.262417
260,8.188239
261,8.492127
262,9.346365
263,10.509277
264,11.598011
265,11.887543
266,11.550155
267,10.803595
268,10.126426
269,9.633504
270,9.047262
271,8.740981
272,8.810373
273,8.930014
274,9.219545
275,9.767502
276,10.255638
277,10.750952
278,10.942378
279,10.949556
280,10.73181
281,10.229317
282,9.580862
283,8.872586
284,8.63809
285,8.882157
286,9.272188
287,9.915857
288,10.41835
289,10.650454
290,10.829915
291,10.815558
292,10.375279
293,9.899107
294,9.722038
295,9.614362
296,9.375079
297,9.3104725
298,9.41815
299,9.676575
300,9.889536
301,10.001999
302,10.095319
303,10.179068
304,10.246066
305,10.334601
306,10.253245
307,10.01157
308,9.688539
309,9.446864
310,9.272188
311,9.262616
312,9.45165
313,9.9756775
314,10.4016
315,10.595419
316,10.628919
317,10.3848505
318,9.958928
319,9.705289
320,9.635897
321,9.497113
322,9.509077
323,9.657433
324,9.738789
325,9.82493
326,9.958928
327,10.054641
328,10.04507
329,9.60479
330,8.015956
331,6.017949
332,6.991828
333,13.25863
334,15.141782
335,11.729616
336,10.593026
337,17.077576
338,16.252052
339,9.403793
340,7.166504
341,5.3886366
342,2.2564318
343,1.4979069
344,5.0129633
345,13.115061
346,11.265409
347,10.540383
348,14.8378935
349,17.685352
350,12.985848
351,7.2789664
352,8.441878
353,11.19841
354,9.305687
355,5.759524
356,5.7930236
357,9.341579
358,10.286744
359,9.753145
360,8.568698
361,11.131411
362,14.048262
363,13.100704
364,10.600204
365,10.269995
366,10.633704
367,9.396614
368,7.8628154
369,6.546763
370,6.9655066
371,8.5016985
372,9.985249
373,11.404193
374,12.528819
375,12.825529
376,12.112468
377,11.069198
378,9.461221
379,8.059027
380,7.3459654
381,7.479964
382,8.207381
383,9.399008
384,10.526027
385,11.375479
386,11.830115
387,11.626725
388,11.064412
389,10.19821
390,9.609575
391,9.111869
392,8.748159
393,8.85823
394,9.241081
395,9.5665045
396,9.925428
397,10.205389
398,10.320244
399,10.442278
400,10.487741
401,10.492527
402,10.380065
403,9.980463
404,9.437292
405,9.080762
406,8.987442
407,9.183653
408,9.628718
409,10.083355
410,10.4159565
411,10.485349
412,10.506885
413,10.396814
414,10.1599245
415,9.97807
416,9.9038925
417,9.84168
418,9.523434
419,9.317652
420,9.439685
421,9.623933
422,9.8321085
423,9.937392
424,10.090533
425,10.212567
426,10.291531
427,10.291531
428,10.112068
429,9.961321
430,9.631111
431,9.322437
432,9.253045
433,9.29133
434,9.585648
435,10.167104
436,10.5690975
437,10.648061
438,10.504492
439,10.152746
440,9.767502
441,9.600004
442,9.58804
443,9.631111
444,9.724431
445,9.803394
446,9.810573
447,9.827323
448,9.920643
449,10.030712
450,10.12164
451,10.1288185
452,10.100104
453,9.923036
454,9.765109
455,9.722038
456,9.693324
457,9.762716
458,9.781859
459,9.717253
460,9.865608
461,10.097712
462,10.205389
463,10.265209
464,10.19821
465,9.9756775
466,9.789038
467,9.616755
468,8.949157
469,6.678368
470,3.8907297
471,5.0368915
472,17.532211
473,17.723637
474,9.600004
475,13.344772
476,22.44707
477,14.672789
478,8.252846
479,9.963714
480,5.1852465
481,1.3375878
482,-1.4500505
483,-1.7946169
484,7.6977105
485,21.109482
486,10.839486
487,3.574877
488,11.535798
489,26.206194
490,17.45564
491,5.6590257
492,3.5437703
493,9.473185
494,14.222938
495,8.659625
496,6.3050876
497,10.10489
498,10.621739
499,7.173682
500,5.623133
501,10.413564
502,12.97867
503,11.887543
504,10.51167
505,12.387643
506,12.71546
507,8.831908
508,5.0081778
509,5.1996036
510,9.487542
511,13.07199
512,12.612568
513,11.265409
514,10.827522
515,10.578669
516,10.023534
517,8.60459
518,6.975078
519,8.252846
520,10.207782
521,9.745967
522,8.743374
523,9.906285
524,12.332608
525,12.466606
526,11.239088
527,10.01157
528,9.037691
529,8.740981
530,8.997013
531,9.432507
532,9.97807
533,10.066605
534,9.671789
535,9.626326
536,9.9015
537,10.140782
538,10.140782
539,9.937392
540,10.076176
541,10.226924
542,10.459028
543,10.023534
544,9.51147
545,9.638289
546,9.633504
547,9.355937
548,9.454042
549,9.946963
550,9.985249
551,10.037891
552,10.5284195
553,10.722239
554,10.423136
555,10.140782
556,9.963714
557,9.657433
558,9.406186
559,9.439685
560,9.506684
561,9.444471
562,9.45165
563,9.652647
564,10.078569
565,10.516456
566,10.777273
567,10.6815605
568,10.301102
569,9.7196455
570,9.3104725
571,9.15494
572,9.116654
573,9.430114
574,10.006784
575,10.279566
576,10.430314
577,10.602597
578,10.411171
579,10.001999
580,9.879965
581,9.812965
582,9.449257
583,9.403793
584,9.609575
585,9.834501
586,9.934999
587,9.946963
588,9.994821
589,9.949356
590,9.894321
591,10.025927
592,10.155139
593,10.090533
594,10.073783
595,9.894321
596,9.628718
597,9.492328
598,9.530613
599,9.753145
600,9.982856
601,10.164711
602,10.317851
603,10.147961
604,9.894321
605,9.9015
606,9.946963
607,9.80818
608,9.712467
609,9.801002
610,9.769895
611,9.700503
612,9.815358
613,9.889536
614,9.97807
615,10.028319
616,9.997213
617,10.01157
618,9.934999
619,9.930214
620,9.961321
621,9.822537
622,9.690931
623,9.722038
624,9.722038
625,9.829716
626,10.076176
627,10.224531
628,10.205389
629,9.999606
630,9.846465
631,9.79143
632,9.667004
633,9.676575
634,9.9015
635,10.009177
636,9.927821
637,9.911072
638,9.877572
639,9.786645
640,9.839287
641,9.999606
642,9.992428
643,9.939785
644,9.944571
645,9.987641
646,9.891929
647,9.777073
648,9.848858
649,9.913465
650,9.82493
651,9.9038925
652,10.047462
653,10.025927
654,10.04507
655,10.042677
656,9.906285
657,9.781859
658,9.738789
659,9.777073
660,9.8632145
661,9.911072
662,10.009177
663,9.997213
664,9.836894
665,9.829716
666,9.91825
667,9.88475
668,9.9015
669,10.01157
670,10.018748
671,9.920643
672,9.827323
673,9.80818
674,9.846465
675,9.88475
676,9.968499
677,10.028319
678,9.956535
679,9.908679
680,9.932607
681,9.865608
682,9.834501
683,9.868001
684,9.829716
685,9.801002
686,9.844072
687,9.91825
688,9.970892
689,9.954143
690,9.934999
691,9.95175
692,9.868001
693,9.803394
694,9.891929
695,9.990034
696,10.006784
697,9.973285
698,9.91825
699,9.839287
700,9.798609
701,9.82493
702,9.934999
703,9.997213
704,9.992428
705,9.973285
706,9.879965
707,9.777073
708,9.820144
709,9.877572
710,9.877572
711,9.899107
712,9.925428
713,9.896714
714,9.894321
715,9.925428
716,9.970892
717,9.946963
718,9.875179
719,9.851251
720,9.865608
721,9.894321
722,9.982856
723,10.023534
724,9.963714
725,9.865608
726,9.8321085
727,9.80818
728,9.827323
729,9.949356
730,10.064212
731,10.01157
732,9.868001
733,9.822537
734,9.793823
735,9.812965
736,9.896714
737,9.985249
738,9.9756775
739,9.942178
740,9.939785
741,9.891929
742,9.887143
743,9.913465
744,9.920643
745,9.887143
746,9.877572
747,9.891929
748,9.91825
749,9.942178
750,9.968499
751,9.954143
752,9.836894
753,9.796216
754,9.860822
755,9.925428
756,9.970892
757,9.980463
758,9.942178
759,9.8632145
760,9.779466
761,9.777073
762,9.848858
763,9.925428
764,9.980463
765,10.0163555
766,9.923036
767,9.870394
768,9.846465
769,9.846465
770,9.877572
771,9.934999
772,9.946963
773,9.927821
774,9.908679
775,9.896714
776,9.9038925
777,9.899107
778,9.8727865
779,9.875179
780,9.899107
781,9.9015
782,9.91825
783,9.944571
784,9.932607
785,9.860822
786,9.829716
787,9.817751
788,9.84168
789,9.891929
790,9.997213
791,9.994821
792,9.954143
793,9.889536
794,9.8321085
795,9.801002
796,9.820144
797,9.908679
798,9.97807
799,9.9756775
800,9.95175
801,9.9038925
802,9.834501
803,9.82493
804,9.8632145
805,9.923036
806,9.932607
807,9.944571
808,9.937392
809,9.887143
810,9.844072
811,9.894321
812,9.88475
813,9.877572
814,9.91825
815,9.956535
816,9.942178
817,9.930214
818,9.956535
819,9.91825
820,9.851251
821,9.853643
822,9.865608
823,9.877572
824,9.95175
825,10.009177
826,9.968499
827,9.908679
828,9.836894
829,9.810573
830,9.817751
831,9.887143
832,9.985249
833,10.01157
834,9.946963
835,9.906285
836,9.822537
837,9.801002
838,9.848858
839,9.91825
840,9.958928
841,9.958928
842,9.915857
843,9.891929
844,9.879965
845,9.887143
846,9.920643
847,9.896714
848,9.891929
849,9.9015
850,9.925428
851,9.95175
852,9.956535
853,9.923036
854,9.870394
855,9.839287
856,9.836894
857,9.877572
858,9.9756775
859,10.001999
860,9.985249
861,9.923036
862,9.822537
863,9.779466
864,9.839287
865,9.920643
866,9.985249
867,9.985249
868,9.937392
869,9.877572
870,9.829716
871,9.846465
872,9.9038925
873,9.9038925
874,9.925428
875,9.925428
876,9.896714
877,9.879965
878,9.877572
879,9.887143
880,9.88475
881,9.879965
882,9.896714
883,9.906285
884,9.923036
885,9.946963
886,9.956535
887,9.899107
888,9.84168
889,9.853643
890,9.8632145
891,9.891929
892,9.97807
893,10.001999
894,9.944571
895,9.899107
896,9.851251
897,9.8321085
898,9.870394
899,9.930214
900,9.9756775
901,9.954143
902,9.91825
903,9.887143
904,9.846465
905,9.860822
906,9.896714
907,9.920643
908,9.932607
909,9.942178
910,9.937392
911,9.9038925
912,9.887143
913,9.9038925
914,9.899107
915,9.889536
916,9.887143
917,9.894321
918,9.9015
919,9.915857
920,9.946963
921,9.896714
922,9.877572
923,9.875179
924,9.887143
925,9.891929
926,9.934999
927,9.949356
928,9.915857
929,9.899107
930,9.865608
931,9.851251
932,9.875179
933,9.9038925
934,9.932607
935,9.946963
936,9.944571
937,9.9015
938,9.870394
939,9.848858
940,9.887143
941,9.91825
942,9.949356
943,9.961321
944,9.91825
945,9.896714
946,9.88475
947,9.879965
948,9.899107
949,9.920643
950,9.9038925
951,9.899107
952,9.889536
953,9.908679
954,9.920643
955,9.920643
956,9.9038925
957,9.887143
958,9.865608
959,9.875179
960,9.915857
961,9.95175
962,9.954143
963,9.934999
964,9.882358
965,9.856036
966,9.856036
967,9.894321
968,9.923036
969,9.944571
970,9.934999
971,9.9015
972,9.844072
973,9.848858
974,9.891929
975,9.923036
976,9.91825
977,9.91825
978,9.889536
979,9.8727865
980,9.896714
981,9.91825
982,9.923036
983,9.906285
984,9.899107
985,9.8727865
986,9.879965
987,9.908679
988,9.944571
989,9.944571
990,9.894321
991,9.894321
992,9.844072
993,9.853643
994,9.908679
995,9.95175
996,9.949356
997,9.920643
998,9.875179
999,9.856036
1000,9.887143
1001,9.906285
1002,9.937392
1003,9.934999
1004,9.927821
1005,9.906285
1006,9.8727865
1007,9.877572
1008,9.915857
1009,9.937392
1010,9.9015
1011,9.927821
1012,9.915857
1013,9.906285
1014,9.923036
1015,9.932607
1016,9.923036
1017,9.899107
1018,9.88475
1019,9.879965
1020,9.894321
1021,9.925428
1022,9.934999
1023,9.915857
1024,9.9038925
1025,9.8727865
1026,9.868001
1027,9.875179
1028,9.920643
1029,9.949356
1030,9.937392
1031,9.913465
1032,9.894321
1033,9.8632145
1034,9.865608
1035,9.879965
1036,9.891929
1037,9.923036
1038,9.923036
1039,9.906285
1040,9.9015
1041,9.894321
1042,9.913465
1043,9.9038925
1044,9.9038925
1045,9.920643
1046,9.9038925
1047,9.887143
1048,9.899107
1049,9.899107
1050,9.891929
1051,9.877572
1052,9.88475
1053,9.88475
1054,9.894321
1055,9.927821
1056,9.932607
1057,9.915857
1058,9.915857
1059,9.9015
1060,9.8727865
1061,9.865608
1062,9.894321
1063,9.91825
1064,9.91825
1065,9.915857
1066,9.896714
1067,9.865608
1068,9.868001
1069,9.88475
1070,9.891929
1071,9.927821
1072,9.946963
1073,9.925428
1074,9.889536
1075,9.8727865
1076,9.891929
1077,9.889536
1078,9.906285
1079,9.927821
1080,9.923036
1081,9.896714
1082,9.88475
1083,9.891929
1084,9.906285
1085,9.91825
1086,9.9038925
1087,9.894321
1088,9.891929
1089,9.915857
1090,9.925428
1091,9.925428
1092,9.91825
1093,9.9015
1094,9.8727865
1095,9.887143
1096,9.915857
1097,9.927821
1098,9.949356
1099,9.932607
1100,9.9015
1101,9.860822
1102,9.870394
1103,9.911072
1104,9.942178
1105,9.956535
1106,9.942178
1107,9.899107
1108,9.8632145
1109,9.879965
1110,9.889536
1111,9.899107
1112,9.927821
1113,9.925428
1114,9.908679
1115,9.88475
1116,9.88475
1117,9.889536
1118,9.911072
1119,9.899107
1120,9.889536
1121,9.889536
1122,9.9015
1123,9.915857
1124,9.932607
1125,9.925428
1126,9.911072
1127,9.891929
1128,9.860822
1129,9.8727865
