time,value
1,9.8321085
2,9.925428
3,9.743574
4,7.769495
5,3.0699914
6,1.0001999
7,5.1182475
8,19.59961
9,31.097122
10,15.211174
11,19.025333
12,19.774286
13,5.127819
14,1.9525433
15,0.8111669
16,0.29910284
17,0.5240282
18,7.2861447
19,11.263016
20,9.602397
21,19.733608
22,4.7018967
23,3.9050865
24,12.021541
25,16.58944
26,21.2698
27,8.9108715
28,2.07697
29,11.808579
30,19.269402
31,6.8482585
32,4.06062
33,6.1878395
34,9.992428
35,10.607383
36,6.32423
37,9.2075815
38,13.629518
39,12.189038
40,11.186446
41,11.540584
42,11.428121
43,9.729217
44,6.489335
45,4.0965123
46,5.8193445
47,10.803595
48,14.926428
49,15.381064
50,12.129218
51,12.217752
52,11.827723
53,9.217153
54,6.5539412
55,5.704489
56,7.2502527
57,6.6927247
58,6.836294
59,8.827123
60,12.49532
61,14.091332
62,12.832707
63,11.703296
64,12.071791
65,10.930414
66,9.652647
67,9.104691
68,8.283952
69,8.413164
70,8.331808
71,8.322237
72,8.269595
73,8.712267
74,10.6815605
75,11.868401
76,11.545369
77,11.531013
78,11.586047
79,10.870593
80,10.102497
81,9.360723
82,8.559127
83,7.877172
84,7.771888
85,8.556734
86,9.12144
87,10.399207
88,11.767901
89,12.016755
90,11.775081
91,11.215159
92,10.41835
93,9.731609
94,8.85823
95,8.128419
96,8.410771
97,8.810373
98,9.387043
99,9.686146
100,10.250853
101,11.200803
102,11.559726
103,11.334801
104,10.581061
105,9.619147
