time,value
1,9.82493
2,9.736395
3,10.035499
4,9.990034
5,9.793823
6,9.784252
7,10.10489
8,9.937392
9,9.738789
10,9.891929
11,10.095319
12,9.91825
13,9.707682
14,9.992428
15,10.083355
16,9.844072
17,9.757931
18,10.057034
19,10.013963
20,9.753145
21,9.844072
22,10.092926
23,9.949356
24,9.731609
25,9.927821
26,10.095319
27,9.88475
28,9.729217
29,10.023534
30,10.057034
31,9.810573
32,9.789038
33,10.040284
34,9.987641
35,9.757931
36,9.858429
37,10.085748
38,9.915857
39,9.743574
40,9.961321
41,10.04507
42,9.853643
43,9.765109
44,10.033105
45,9.997213
46,9.789038
47,9.846465
48,10.049855
49,9.942178
50,9.755538
51,9.920643
52,10.059426
53,9.8632145
54,9.765109
55,9.97807
56,10.006784
57,9.817751
58,9.812965
59,10.042677
60,9.954143
61,9.812965
62,9.887143
63,10.035499
64,9.930214
65,9.77468
66,9.956535
67,9.999606
68,9.848858
69,9.8321085
70,9.961321
71,9.961321
72,9.827323
73,9.8632145
74,10.009177
75,9.939785
76,9.827323
77,9.906285
78,9.990034
79,9.913465
80,9.851251
81,9.944571
82,9.949356
83,9.870394
84,9.8632145
85,9.937392
86,9.942178
87,9.858429
88,9.88475
89,9.946963
90,9.891929
91,9.870394
92,9.889536
93,9.942178
94,9.934999
95,9.877572
96,9.911072
97,9.932607
98,9.915857
99,9.891929
100,9.899107
101,9.944571
102,9.9015
103,9.889536
104,9.927821
105,9.934999
106,9.923036
107,9.8727865
108,9.934999
109,9.942178
110,9.908679
111,9.894321
112,9.91825
113,9.930214
114,9.894321
115,9.894321
116,9.934999
117,9.930214
118,9.887143
119,9.913465
120,9.91825
121,9.944571
122,9.877572
123,9.913465
124,9.930214
125,9.91825
126,9.9015
127,9.9038925
128,9.925428
129,9.875179
130,9.877572
131,9.937392
132,9.937392
133,9.899107
134,9.9038925
135,9.930214
136,9.932607
137,9.870394
138,9.911072
139,9.927821
140,9.894321
141,9.882358
142,9.896714
143,9.932607
144,9.908679
145,9.9015
146,9.920643
147,9.913465
148,9.894321
149,9.9038925
150,9.913465
151,9.911072
