time,value
1,9.908679
2,9.899107
3,9.908679
4,9.9015
5,9.906285
6,9.896714
7,9.906285
8,9.927821
9,9.908679
10,9.899107
11,9.9015
12,9.899107
13,9.9015
14,9.908679
15,9.906285
16,9.908679
17,9.9038925
18,9.911072
19,9.882358
20,9.896714
21,9.911072
22,9.906285
23,9.906285
24,9.915857
25,9.913465
26,9.915857
27,9.906285
28,9.908679
29,9.91825
30,9.91825
31,9.915857
32,9.908679
33,9.911072
34,9.891929
35,9.913465
36,9.91825
37,9.908679
38,9.899107
39,9.906285
40,9.913465
41,9.906285
42,9.9038925
43,9.911072
44,9.91825
45,9.913465
46,9.913465
47,9.906285
48,9.9015
49,9.91825
50,9.923036
51,9.923036
52,9.913465
53,9.915857
54,9.915857
55,9.911072
56,9.9015
57,9.9038925
58,9.913465
59,9.9038925
60,9.9038925
61,9.915857
62,9.9015
63,9.906285
64,9.908679
65,9.923036
66,9.923036
67,9.91825
68,9.91825
69,9.908679
70,9.899107
71,9.915857
72,9.915857
73,9.923036
74,9.913465
75,9.915857
76,9.91825
77,9.925428
78,9.923036
79,9.920643
80,9.920643
81,9.913465
82,9.913465
83,9.906285
84,9.913465
85,9.915857
86,9.908679
87,9.927821
88,9.915857
89,9.9038925
90,9.91825
91,9.913465
92,9.908679
93,9.913465
94,9.9038925
95,9.9038925
96,9.9015
97,9.9038925
98,9.913465
99,9.920643
100,9.9015
101,9.9015
102,9.911072
103,9.91825
104,9.911072
105,9.911072
106,9.911072
107,9.91825
108,9.908679
109,9.925428
110,9.91825
111,9.915857
112,9.913465
113,9.906285
114,9.913465
115,9.911072
116,9.908679
117,9.896714
118,9.906285
119,9.913465
120,9.913465
121,9.925428
122,9.91825
123,9.920643
124,9.925428
125,9.915857
126,9.920643
127,9.927821
128,9.920643
129,9.920643
130,9.9038925
131,9.911072
132,9.915857
133,9.934999
134,9.906285
135,9.908679
136,9.899107
137,9.896714
138,9.908679
139,9.906285
140,9.908679
141,9.906285
142,9.915857
143,9.908679
144,9.899107
145,9.9015
146,9.899107
147,9.908679
148,9.913465
149,9.906285
150,9.906285
151,9.906285
152,9.913465
153,9.911072
154,9.894321
155,9.894321
156,9.920643
157,9.925428
158,9.911072
159,9.899107
160,9.896714
161,9.906285
162,9.908679
163,9.899107
164,9.911072
165,9.9038925
166,9.915857
167,9.920643
168,9.927821
169,9.91825
170,9.915857
171,9.908679
172,9.908679
173,9.920643
174,9.91825
175,9.925428
176,9.920643
177,9.91825
178,9.913465
179,9.894321
180,9.894321
181,9.88475
182,9.889536
183,9.887143
184,9.894321
185,9.911072
186,9.913465
187,9.899107
188,9.91825
189,9.923036
190,9.925428
191,9.915857
192,9.915857
193,9.908679
194,9.913465
195,9.908679
196,9.908679
197,9.923036
198,9.911072
199,9.913465
200,9.911072
201,9.913465
202,9.913465
203,9.91825
204,9.9038925
205,9.91825
206,9.915857
207,9.915857
208,9.906285
209,9.923036
210,9.932607
211,9.911072
212,9.894321
213,9.91825
214,9.925428
215,9.889536
216,9.868001
217,9.899107
218,9.923036
219,9.913465
220,9.925428
221,9.942178
222,9.95175
223,9.932607
224,9.923036
225,9.91825
226,9.911072
227,9.9038925
228,9.889536
229,9.9015
230,9.911072
231,9.896714
232,9.9015
233,9.934999
234,9.923036
235,9.908679
236,9.920643
237,9.915857
238,9.894321
239,9.891929
240,9.9038925
241,9.889536
242,9.877572
243,9.896714
244,9.906285
245,9.908679
246,9.930214
247,9.934999
248,9.925428
249,9.906285
250,9.906285
251,9.908679
252,9.9038925
253,9.894321
254,9.896714
255,9.906285
256,9.915857
257,9.908679
258,9.925428
259,9.920643
260,9.91825
261,9.915857
262,9.894321
263,9.889536
264,9.9038925
265,9.896714
266,9.891929
267,9.911072
268,9.915857
269,9.91825
270,9.9038925
271,9.906285
272,9.927821
273,9.942178
274,9.915857
275,9.908679
276,9.930214
277,9.920643
278,9.925428
279,9.923036
280,9.915857
281,9.9038925
282,9.908679
283,9.906285
284,9.911072
285,9.920643
286,9.920643
287,9.906285
288,9.9038925
289,9.894321
290,9.911072
291,9.899107
292,9.9015
293,9.91825
294,9.906285
295,9.894321
296,9.906285
297,9.915857
298,9.920643
299,9.913465
300,9.920643
301,9.915857
302,9.9015
303,9.920643
304,9.91825
305,9.906285
306,9.894321
307,9.899107
308,9.908679
309,9.9015
310,9.891929
311,9.9038925
312,9.9038925
313,9.911072
314,9.923036
315,9.923036
316,9.91825
317,9.906285
318,9.908679
319,9.896714
320,9.894321
321,9.920643
322,9.932607
323,9.908679
324,9.913465
325,9.91825
326,9.915857
327,9.908679
328,9.91825
329,9.937392
330,9.911072
331,9.920643
332,9.908679
333,9.913465
334,9.9038925
335,9.894321
336,9.906285
337,9.906285
338,9.913465
339,9.9038925
340,9.896714
341,9.9038925
342,9.896714
343,9.9038925
344,9.911072
345,9.911072
346,9.913465
347,9.894321
348,9.896714
349,9.908679
350,9.906285
351,9.911072
352,9.9015
353,9.915857
354,9.9038925
355,9.899107
356,9.908679
357,9.9015
358,9.906285
359,9.913465
360,9.920643
361,9.911072
362,9.906285
363,9.913465
364,9.923036
365,9.920643
366,9.9015
367,9.906285
368,9.91825
369,9.927821
370,9.920643
371,9.913465
372,9.91825
373,9.91825
374,9.906285
375,9.891929
376,9.913465
377,9.908679
378,9.891929
379,9.908679
380,9.908679
381,9.9015
382,9.906285
383,9.920643
384,9.913465
385,9.9038925
386,9.906285
387,9.906285
388,9.908679
389,9.908679
390,9.91825
391,9.91825
392,9.923036
393,9.906285
394,9.896714
395,9.913465
396,9.913465
397,9.911072
398,9.913465
399,9.908679
400,9.913465
401,9.911072
402,9.91825
403,9.899107
404,9.908679
405,9.927821
406,9.899107
407,9.896714
408,9.915857
409,9.911072
410,9.896714
411,9.9038925
412,9.913465
413,9.91825
414,9.911072
415,9.930214
416,9.913465
417,9.906285
418,9.915857
419,9.915857
420,9.913465
421,9.915857
422,9.911072
423,9.9038925
424,9.91825
425,9.923036
426,9.920643
427,9.911072
428,9.906285
429,9.906285
430,9.91825
431,9.913465
432,9.9038925
433,9.894321
434,9.896714
435,9.906285
436,9.906285
437,9.91825
438,9.915857
439,9.908679
440,9.911072
441,9.913465
442,9.915857
443,9.913465
444,9.915857
445,9.911072
446,9.9015
447,9.899107
448,9.891929
449,9.911072
450,9.911072
451,9.908679
452,9.908679
453,9.911072
454,9.91825
455,9.913465
456,9.91825
457,9.920643
458,9.911072
459,9.911072
460,9.908679
461,9.889536
462,9.906285
463,9.920643
464,9.932607
465,9.923036
466,9.920643
467,9.930214
468,9.913465
469,9.913465
470,9.930214
471,9.91825
472,9.930214
473,9.911072
474,9.920643
475,9.908679
476,9.920643
477,9.920643
478,9.91825
479,9.923036
480,9.923036
481,9.9038925
482,9.9038925
483,9.908679
484,9.906285
485,9.906285
486,9.915857
487,9.915857
488,9.911072
489,9.920643
490,9.925428
491,9.930214
492,9.915857
493,9.920643
494,9.915857
495,9.906285
496,9.908679
497,9.908679
498,9.906285
499,9.913465
500,9.9038925
501,9.899107
502,9.906285
503,9.913465
504,9.9038925
505,9.908679
506,9.911072
507,9.920643
508,9.913465
509,9.913465
510,9.911072
511,9.915857
512,9.906285
513,9.915857
514,9.9038925
515,9.9015
516,9.908679
517,9.891929
518,9.894321
519,9.889536
520,9.913465
521,9.915857
522,9.9038925
523,9.915857
524,9.920643
525,9.906285
526,9.906285
527,9.9038925
528,9.906285
529,9.923036
530,9.920643
531,9.923036
532,9.906285
533,9.913465
534,9.911072
535,9.913465
536,9.91825
537,9.927821
538,9.920643
539,9.911072
540,9.925428
541,9.91825
542,9.906285
543,9.913465
544,9.9038925
545,9.896714
546,9.913465
547,9.908679
548,9.915857
549,9.908679
550,9.913465
551,9.906285
552,9.899107
553,9.899107
554,9.911072
555,9.911072
556,9.9015
557,9.913465
558,9.913465
559,9.896714
560,9.887143
561,9.9038925
562,9.913465
563,9.906285
564,9.891929
565,9.908679
566,9.908679
567,9.906285
568,9.915857
569,9.911072
570,9.911072
571,9.915857
572,9.915857
573,9.915857
574,9.896714
575,9.906285
576,9.899107
577,9.911072
578,9.923036
579,9.923036
580,9.906285
581,9.906285
582,9.906285
583,9.906285
584,9.9038925
585,9.9015
586,9.91825
587,9.908679
588,9.920643
589,9.923036
590,9.923036
591,9.915857
592,9.908679
593,9.911072
594,9.91825
595,9.908679
596,9.91825
597,9.913465
598,9.927821
599,9.934999
600,9.934999
601,9.925428
602,9.911072
603,9.91825
604,9.908679
605,9.908679
606,9.9015
607,9.9015
608,9.920643
609,9.925428
610,9.915857
611,9.927821
612,9.915857
613,9.906285
614,9.915857
615,9.91825
616,9.913465
617,9.9038925
618,9.9038925
619,9.9038925
