time,value
1,9.927821
2,9.923036
3,9.908679
4,9.899107
5,9.896714
6,9.908679
7,9.896714
8,9.932607
9,9.891929
10,9.949356
11,9.896714
12,9.949356
13,9.88475
14,9.932607
15,9.891929
16,9.911072
17,9.927821
18,9.88475
19,9.961321
20,9.839287
21,9.997213
22,9.817751
23,9.982856
24,9.817751
25,9.973285
26,9.8632145
27,9.925428
28,9.925428
29,9.865608
30,9.982856
31,9.8321085
32,10.013963
33,9.817751
34,10.030712
35,9.834501
36,10.001999
37,9.875179
38,9.925428
39,9.927821
40,9.865608
41,9.990034
42,9.815358
43,10.030712
44,9.798609
45,10.013963
46,9.803394
47,9.966106
48,9.868001
49,9.899107
50,9.942178
51,9.868001
52,9.999606
53,9.812965
54,10.0163555
55,9.810573
56,10.028319
57,9.817751
58,9.966106
59,9.870394
60,9.911072
61,9.946963
62,9.860822
63,10.009177
64,9.812965
65,10.028319
66,9.803394
67,10.006784
68,9.815358
69,9.966106
70,9.865608
71,9.896714
72,9.925428
73,9.848858
74,9.992428
75,9.805787
76,10.023534
77,9.803394
78,10.025927
79,9.812965
80,9.9756775
81,9.870394
82,9.91825
83,9.906285
84,9.882358
85,9.958928
86,9.846465
87,9.9756775
88,9.8321085
89,9.990034
90,9.8321085
91,9.980463
92,9.856036
93,9.95175
94,9.9015
95,9.932607
96,9.932607
97,9.906285
98,9.930214
99,9.889536
100,9.958928
101,9.875179
102,9.927821
