time,value
1,9.8321085
2,9.925428
3,9.743574
4,7.769495
5,3.0699914
6,1.0001999
7,5.1182475
8,19.59961
9,31.097122
10,15.211174
11,19.025333
12,19.774286
13,5.127819
14,1.9525433
15,0.8111669
16,0.29910284
17,0.5240282
18,7.2861447
19,11.263016
20,9.602397
21,19.733608
22,4.7018967
23,3.9050865
24,12.021541
25,16.58944
26,21.2698
27,8.9108715
28,2.07697
29,11.808579
30,19.269402
31,6.8482585
32,4.06062
33,6.1878395
34,9.992428
35,10.607383
36,6.32423
37,9.2075815
38,13.629518
39,12.189038
40,11.186446
41,11.540584
42,11.428121
43,9.729217
44,6.489335
45,4.0965123
46,5.8193445
47,10.803595
48,14.926428
49,15.381064
50,12.129218
51,12.217752
52,11.827723
53,9.217153
54,6.5539412
55,5.704489
56,7.2502527
57,6.6927247
58,6.836294
59,8.827123
60,12.49532
61,14.091332
62,12.832707
63,11.703296
64,12.071791
65,10.930414
66,9.652647
67,9.104691
68,8.283952
69,8.413164
70,8.331808
71,8.322237
72,8.269595
73,8.712267
74,10.6815605
75,11.868401
76,11.545369
77,11.531013
78,11.586047
79,10.870593
80,10.102497
81,9.360723
82,8.559127
83,7.877172
84,7.771888
85,8.556734
86,9.12144
87,10.399207
88,11.767901
89,12.016755
90,11.775081
91,11.215159
92,10.41835
93,9.731609
94,8.85823
95,8.128419
96,8.410771
97,8.810373
98,9.387043
99,9.686146
100,10.250853
101,11.200803
102,11.559726
103,11.334801
104,10.581061
105,9.619147
106,9.018549
107,8.664411
108,8.49452
109,9.236296
110,10.030712
111,10.262816
112,10.1599245
113,10.382458
114,10.633704
115,10.631311
116,10.509277
117,10.30828
118,9.743574
119,9.367901
120,9.126225
121,9.018549
122,9.554541
123,9.973285
124,10.04507
125,9.958928
126,9.97807
127,10.176675
128,10.504492
129,10.487741
130,10.19821
131,9.966106
132,9.585648
133,9.1669035
134,8.9826565
135,9.571291
136,10.068997
137,10.320244
138,10.411171
139,10.186246
140,10.035499
141,10.057034
142,10.1288185
143,10.095319
144,10.04507
145,9.798609
146,9.415757
147,9.164511
148,9.501899
149,9.91825
150,10.145568
151,10.207782
152,10.092926
153,10.059426
154,10.0881405
155,9.8632145
156,9.944571
157,10.162318
158,9.891929
159,9.542577
160,9.427721
161,9.561719
162,9.927821
163,10.351351
164,10.34178
165,10.18146
166,10.006784
167,9.879965
168,9.736395
169,9.796216
170,10.066605
171,10.037891
172,9.722038
173,9.518648
174,9.633504
175,9.710074
176,9.946963
177,10.114461
178,10.293923
179,10.284351
180,9.927821
181,9.690931
182,9.801002
183,9.970892
184,9.877572
185,9.784252
186,9.671789
187,9.772287
188,9.994821
189,10.01157
190,10.064212
191,10.219746
192,10.262816
193,9.836894
194,9.667004
195,9.664611
196,9.836894
197,9.980463
198,9.923036
199,9.875179
200,9.810573
201,9.793823
202,9.750752
203,9.937392
204,10.210175
205,10.265209
206,10.085748
207,9.817751
208,9.138189
209,5.3144593
210,1.4835501
211,0.81595254
212,6.4558353
213,30.118458
214,31.889147
215,12.02872
216,23.298914
217,10.451849
218,1.6749759
219,1.1940185
220,0.62452674
221,0.55752766
222,1.6486548
223,11.432906
224,15.701702
225,1.1700903
226,23.514269
227,9.01137
228,-1.5409778
229,10.291531
230,20.35335
231,19.104296
232,10.578669
233,3.7040894
234,13.969298
235,10.671989
236,10.770095
237,5.1158547
238,1.3950156
239,8.73141
240,13.225131
241,9.643075
242,7.628319
243,12.696317
244,16.307087
245,13.514663
246,11.607583
247,8.886943
248,6.91765
249,6.1447687
250,5.723632
251,7.4105716
252,9.590433
253,12.68196
254,12.983456
255,11.600404
256,12.095718
257,11.956935
258,11.265409
259,8.295917
260,6.977471
261,7.9154572
262,8.123632
263,7.7814593
264,9.209974
265,11.531013
266,12.976277
267,12.263216
268,10.377672
269,10.360922
270,9.480363
271,8.846265
272,9.454042
273,10.430314
274,10.052248
275,8.712267
276,8.836694
277,9.099904
278,9.420543
279,9.8632145
280,10.540383
281,11.07159
282,11.253445
283,10.420743
284,9.879965
285,10.346565
286,9.939785
287,9.200403
288,8.571091
289,8.652447
290,8.968299
291,9.193225
292,10.521241
293,11.73201
294,11.693725
295,11.095519
296,10.375279
297,9.631111
298,9.288938
299,8.920443
300,8.999406
301,9.485149
302,9.224331
303,9.262616
304,9.614362
305,10.411171
306,11.057234
307,11.23191
308,11.01177
309,10.006784
310,9.174082
311,9.049655
312,8.953942
313,9.224331
314,9.966106
315,10.313066
316,10.035499
317,9.934999
318,10.080962
319,10.399207
320,10.487741
321,10.3681
322,10.212567
323,9.757931
324,9.391829
325,9.150154
326,9.456435
327,9.980463
328,10.028319
329,9.877572
330,9.741181
331,9.662218
332,9.9038925
333,10.578669
334,10.585847
335,10.427921
336,10.057034
337,9.537791
338,9.02812
339,9.047262
340,9.784252
341,10.169497
342,10.406385
343,10.219746
344,9.934999
345,9.834501
346,10.04507
347,10.217353
348,10.289138
349,10.116854
350,9.671789
351,9.262616
352,9.131011
353,9.5665045
354,10.052248
355,10.289138
356,10.277173
357,9.932607
358,9.906285
359,9.946963
360,9.88475
361,10.219746
362,10.284351
363,9.839287
364,9.425328
365,9.32483
366,9.470792
367,10.085748
368,10.559526
369,10.389636
370,10.1288185
371,9.810573
372,9.690931
373,9.643075
374,9.937392
375,10.1599245
376,10.162318
377,9.731609
378,9.41815
379,9.458828
